INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('lauren82', 'allison24@example.org', '766-665-3218', '%8eeUmdhoY', '1961-11-03', 'IL', 'Premium', 'https://source.unsplash.com/featured/?spotify_lauren82.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('christensendenise', 'deaton@example.net', '601-964-6938x424', 'zyuCCfwv^2', '1930-05-08', 'CL', 'Premium', 'https://source.unsplash.com/featured/?spotify_christensendenise.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('deborah07', 'emily46@example.org', '001-259-997-5481x3240', 'i2yI(xFE+q', '1979-08-14', 'LY', 'Premium', 'https://source.unsplash.com/featured/?spotify_deborah07.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('robert22', 'michelle60@example.com', '001-498-777-7380x703', '3lp%4Xta6C', '1937-10-18', 'TD', 'Free', 'https://source.unsplash.com/featured/?spotify_robert22.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('fvaughan', 'flopez@example.com', '768.653.3841x25513', '(4)6%WmcI^', '1969-04-23', 'NL', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_fvaughan.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('hannah99', 'debbie21@example.net', '585.333.4536x449', 'qn5FBbyM(4', '1976-06-23', 'ZM', 'Premium', 'https://source.unsplash.com/featured/?spotify_hannah99.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('elizabethmiranda', 'ajackson@example.net', '356-991-1556x2127', '!&(0tiTieJ', '2005-08-31', 'SN', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_elizabethmiranda.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('laurapaul', 'colliercalvin@example.net', '001-515-603-1984x2125', '6e+6EDbReB', '1968-11-29', 'BJ', 'Free', 'https://source.unsplash.com/featured/?spotify_laurapaul.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('barry96', 'jennifer91@example.com', '651.906.4171x856', '$181aIhnpu', '1942-05-12', 'CL', 'Free', 'https://source.unsplash.com/featured/?spotify_barry96.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('mia90', 'fdalton@example.net', '537.796.0877', 'Iy7YmVkz%(', '1996-11-20', 'CG', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_mia90.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('amiller', 'kellymartinez@example.net', '001-969-220-8184x71929', '@5RWFC*Rr9', '1953-02-17', 'LS', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_amiller.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('schwartzjames', 'wrussell@example.org', '+1-610-817-3574x3304', '&7dBPzOnej', '1945-04-27', 'AO', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_schwartzjames.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('williamhaley', 'matthewsscott@example.net', '747-701-8501x8850', 'P7*6A+ce98', '1975-04-08', 'ZW', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_williamhaley.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('james84', 'ghinton@example.org', '601-800-0453x6978', 'y+71XFKeY9', '1934-11-08', 'ST', 'Premium', 'https://source.unsplash.com/featured/?spotify_james84.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('davidallen', 'heathersanders@example.net', '001-296-996-7949x9531', 'gE7UW9Mr5+', '1940-09-11', 'HK', 'Free', 'https://source.unsplash.com/featured/?spotify_davidallen.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('amy04', 'kimberlymedina@example.org', '+1-251-644-4320', '4mszBkY#&a', '1965-05-24', 'BW', 'Premium', 'https://source.unsplash.com/featured/?spotify_amy04.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('patricia44', 'susantyler@example.org', '+1-813-622-9706x1469', 'KgdP6Pjuz*', '1979-02-03', 'GM', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_patricia44.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('ocampbell', 'erinwalker@example.org', '8395332367', '+8CcZ^%h&Y', '1961-06-03', 'CH', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_ocampbell.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('emilyjimenez', 'plang@example.com', '4417625479', '@KbvUkmX12', '2006-08-19', 'ML', 'Premium', 'https://source.unsplash.com/featured/?spotify_emilyjimenez.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('matthewheath', 'sarah30@example.com', '9436437773', '3t3ZMZm$F+', '1987-01-13', 'LS', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_matthewheath.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('peteradams', 'kevin24@example.com', '724.459.1506', '!6SVvppDiX', '1956-06-13', 'ES', 'Free', 'https://source.unsplash.com/featured/?spotify_peteradams.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('juliawalker', 'kayla41@example.org', '460-324-8774', 'L0Iv@gQC+m', '1992-05-15', 'US', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_juliawalker.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('bburke', 'hjackson@example.org', '001-669-589-6077x2622', 'q&1PDUw+1&', '1998-07-14', 'MG', 'Free', 'https://source.unsplash.com/featured/?spotify_bburke.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('andrewklein', 'tracy87@example.com', '(307)685-3303x45313', '*3KcdwNzUz', '1962-06-23', 'ER', 'Free', 'https://source.unsplash.com/featured/?spotify_andrewklein.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('cmorgan', 'danielschultz@example.com', '001-589-969-0352x0810', '*cRrM(vAz5', '1946-12-25', 'SS', 'Premium', 'https://source.unsplash.com/featured/?spotify_cmorgan.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('nwilson', 'wheelervanessa@example.net', '8888687339', 'dG1oG1s@F$', '1958-10-04', 'KW', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_nwilson.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('sonia67', 'arielroberts@example.org', '568.613.5814', '&1WOWqAP03', '1997-07-26', 'UG', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_sonia67.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('cmorgan', 'wellswilliam@example.org', '+1-745-375-0774', '#X4DCp8jBM', '1934-02-04', 'FI', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_cmorgan.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('william66', 'tonimartin@example.org', '865-380-0475', '1M*AZ9XkP_', '1975-07-12', 'CZ', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_william66.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('alyssaowens', 'daltonemily@example.net', '672-268-5472', '^0t6rRwKr+', '1993-07-24', 'LY', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_alyssaowens.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('diana22', 'ycollins@example.org', '5319944705', '#9LSvVXZ89', '1988-04-10', 'PT', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_diana22.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('gwest', 'rbutler@example.com', '+1-864-980-2726x06182', '@A%7DRWruF', '1998-01-10', 'IL', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_gwest.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('erinallen', 'kelly37@example.org', '(987)447-8336x982', '_9gPaq&Xo0', '1957-07-04', 'AF', 'Free', 'https://source.unsplash.com/featured/?spotify_erinallen.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('vjohnson', 'justindavis@example.net', '001-584-323-4260', '!vdxzHMjp3', '1946-06-28', 'MZ', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_vjohnson.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('ramirezelizabeth', 'ygonzales@example.net', '(733)316-2233x6737', '&74(Yn@icD', '1934-07-25', 'CM', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_ramirezelizabeth.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('qreed', 'michaeljimenez@example.net', '5765983170', 'f#71kL0quV', '1966-06-30', 'MX', 'Premium', 'https://source.unsplash.com/featured/?spotify_qreed.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('gina09', 'elizabeth61@example.net', '001-324-271-0186x5193', 'S_7FKG%M3q', '2006-10-05', 'IE', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_gina09.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('wsoto', 'awilliams@example.net', '257-698-5967', '&&J3DTpgyV', '1990-01-06', 'TW', 'Premium', 'https://source.unsplash.com/featured/?spotify_wsoto.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('kevin84', 'cohenpamela@example.com', '+1-935-925-1116', 'f0+5SZ*F)h', '1990-01-25', 'IQ', 'Premium', 'https://source.unsplash.com/featured/?spotify_kevin84.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('rlindsey', 'sallen@example.com', '(718)961-2090x80381', '&!Mmd4Fv0k', '1990-03-10', 'TZ', 'Premium', 'https://source.unsplash.com/featured/?spotify_rlindsey.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('jasmine37', 'rachel65@example.net', '(616)990-8431x20958', 'xFg&R@En_0', '1951-03-02', 'CO', 'Free', 'https://source.unsplash.com/featured/?spotify_jasmine37.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('gutierrezbrady', 'lindseycarter@example.com', '(771)713-0073x850', 'g6TJJMYL)l', '1944-05-27', 'CA', 'Free', 'https://source.unsplash.com/featured/?spotify_gutierrezbrady.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('marissa36', 'kristingarcia@example.com', '855-665-7961', '(wTFirfo#4', '1966-04-06', 'ZM', 'Premium', 'https://source.unsplash.com/featured/?spotify_marissa36.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('qburke', 'miguel57@example.org', '+1-682-284-8306x2564', 'Th%+^3Ir6U', '1978-05-12', 'SN', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_qburke.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('andreahorton', 'michael64@example.net', '850-211-4357x92125', '_0wLFq&$ao', '2006-05-02', 'GA', 'Premium', 'https://source.unsplash.com/featured/?spotify_andreahorton.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('swright', 'brittney25@example.com', '(389)270-8241x33807', '1wB1(JOde%', '1928-01-09', 'DZ', 'Premium', 'https://source.unsplash.com/featured/?spotify_swright.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('perezjeremy', 'ehoffman@example.org', '+1-255-586-0596x11501', 'J&9XYAztmh', '1984-02-23', 'ID', 'Premium', 'https://source.unsplash.com/featured/?spotify_perezjeremy.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('lesliepowell', 'owenmichelle@example.net', '758.449.2152x03697', '$BJY1BarH7', '1956-12-15', 'AF', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_lesliepowell.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('michelle07', 'bhansen@example.com', '(410)549-5631', 'H2fPEPBu+v', '1929-03-29', 'CN', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_michelle07.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('sheri03', 'anthonychurch@example.net', '001-207-652-0577x651', '%EHT7LqkL%', '1982-06-02', 'ML', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_sheri03.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('charlesbarber', 'vlindsey@example.com', '+1-660-887-4600x87343', '*dGlI4(l$6', '2003-11-19', 'NL', 'Premium Student', 'https://source.unsplash.com/featured/?spotify_charlesbarber.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('raymond56', 'arianaford@example.net', '282.675.8188x978', '^0p2JYt7FG', '2003-10-14', 'CG', 'Premium', 'https://source.unsplash.com/featured/?spotify_raymond56.jpeg');
INSERT INTO users (username, email, phone, password, date_of_birth, country, subscription_type, profile_image) VALUES ('romantrevor', 'amber05@example.com', '605-930-8268', '!#Ke_Zu2y5', '1937-05-10', 'CZ', 'Premium Family', 'https://source.unsplash.com/featured/?spotify_romantrevor.jpeg');
